N_Season,N_Date,Momentum_3d,Momentum_6d,Momentum_9d,Momentum_12d,Momentum_15d,Momentum_18d,Momentum_31d,Momentum_41d,Momentum_51d,Momentum_61d,Resistance30d,Support30d,CTrendHigh_10d,CTrendHigh_20d,CTrendHigh_50d,CTrendLow_10d,CTrendLow_20d,CTrendLow_50d,Velocity_21d,EMA20,EMA50,SMA5,SMA10,SMA20,SMA50,STD20,STDSLP20,STD50,RSI6,RSI24SLP5,RSI24,RSI50SLP5,RSI50,RSI10_P10,RSI20_P20,IXICMomDiff_10,IXICMomDiff_20,IXICMomDiff_50,ADTM23day,MAADTM8ma23day,LWR3ma9day,MACD12To26m9,DIF12To26,DEA12To26m9,HistoryAvgDiff30,NC_Highest10d,VC_Highest10dV,VC_Highest10dRawV
Summer,"2015-04-06",0.00999288,0.013603765,-0.022655796,0.0016535361,0.05036386,-0.015505156,-0.016111396,0.08824429,0.097384125,0.02825224,0.035418175,-0.052209184,-0.008742784,-0.004893242,0.14364387,-0.024097329,-0.0113708675,0.13762918,0.714024,1.014399,1.0335263,1.0143855,1.0167743,1.0154368,1.0247055,0.013595814,-5.947597E-4,0.04097409,49.65934,1.3937966,53.69411,-0.07764206,63.063107,50.08781,58.701385,-0.002112941,-0.0030104509,-0.11129432,-0.25244495272636414,-0.18513163924217224,-65.571434,-0.19283813,0.22385406,0.32027313,1.0015533,High,0.008313114,128.57
Spring,"2015-03-26",-0.022655796,0.0016535361,0.05036386,-0.015505156,-0.03165344,-0.021972893,0.07173167,0.089677736,-0.030728353,-0.035149705,0.06948453,-0.0071020634,0.025140045,-0.021624528,0.1395862,0.007975017,-0.03167208,0.1301428,0.8392773,0.9881094,1.0127474,0.9900863,0.98683816,0.9837791,1.0160751,0.016569613,-0.0010190516,0.059151303,49.72601,0.23776093,65.33975,-0.018268585,58.590923,52.73,60.477215,-0.013847169,0.014015777,-0.086523704,-0.3030085861682892,-0.07879697531461716,-34.634815,-0.8727982,0.42173767,0.8581368,0.9811262,Very_High,0.02594489,128.12
Autumn,"2014-07-11",-0.010906811,0.015766526,0.034413945,0.001652854,-0.021779187,0.0038248552,0.04951916,0.054070983,0.0056193573,0.13494936,0.04471884,-0.008394895,0.06315214,0.028474273,0.1367211,0.041425318,0.017627815,0.11613503,0.75722176,1.0221139,1.0620457,0.9981758,1.0098526,1.0261936,1.0592184,0.019445213,0.0013609861,0.040097214,76.00453,0.45666963,68.16288,-0.12806015,64.17873,67.891716,64.54544,-0.045436542,0.008821079,-0.050125077,0.3800949156284332,0.45668038725852966,-15.133377,0.30754232,1.5676727,1.4139016,1.0301474,Very_High,0.020752957,96.593834
Spring,"2015-02-27",-0.033699382,0.028720444,0.01895922,0.052342523,0.01666389,0.02002002,0.034820057,-0.031373546,0.01469798,-0.062568314,0.15832305,-0.030414937,0.04800755,0.12532322,0.20185725,0.0082822405,0.09994541,0.19520149,0.93902117,1.0262313,1.0806811,0.9838551,0.9924133,1.0282942,1.1055099,0.041025635,-0.0010939538,0.06411223,87.90819,-0.37899858,60.08627,0.081408694,53.0719,71.67273,59.110374,0.009015942,-0.03801427,-0.104355305,0.7176552414894104,0.8016672134399414,-5.5059896,-0.18247223,4.382759,4.473995,1.0605948,Stay,-0.002221096,130.28
Spring,"2015-02-20",0.01576596,0.041215323,0.040493257,0.016146429,0.020031067,0.04536664,0.02825224,-0.050147336,-0.026950048,0.005047501,0.11556848,-0.0140581,0.07710219,0.15596227,0.13398233,0.06431864,0.16132785,0.14155968,0.77253664,1.0630999,1.1135176,1.0092272,1.0330329,1.0734156,1.1338533,0.046740588,-1.598768E-4,0.05232055,88.48073,0.3159477,50.030857,0.072467804,54.806538,64.294464,58.05612,-0.03113548,-0.12263128,-0.10040878,0.7871941328048706,0.7304322123527527,-4.034267,1.4720416,4.547455,3.811434,1.0992494,Very_High,0.031660277,133.6
Spring,"2014-03-13",0.0043338784,0.0,0.029431313,-0.0032301147,-0.020507004,-0.0065647806,0.059769038,-0.044177324,-0.05697929,0.0031308804,0.09286981,-0.010168129,0.020575594,1.852768E-4,-0.03070899,0.0134676425,-0.019203452,-0.047417466,0.97320724,1.0002637,0.99632335,0.995699,0.9987652,0.9978494,0.99999475,0.013787583,-5.70794E-4,0.028502066,52.537697,-0.74595565,55.534378,-0.03124237,48.890865,47.560116,46.04521,-0.03335978,0.02688006,0.06811776,0.6278446316719055,0.6588977575302124,-33.511185,0.22119938,0.11639404,0.0057943533,1.0049074,Very_High,0.017307214,76.9681
Spring,"2015-03-23",0.0016535361,0.05036386,-0.015505156,-0.03165344,-0.021972893,-0.018774712,0.0702383,0.092085496,0.048507605,-0.039319016,0.111203544,-0.0068763075,-0.011808396,-0.037293285,0.14619103,-0.019670552,-0.05445014,0.13232623,0.6459471,1.0087962,1.0391842,0.99988997,1.0129311,1.0005348,1.0479295,0.01900489,-6.311696E-4,0.061860558,59.60815,0.9693268,65.27753,-0.007897186,57.837513,52.156204,62.978188,0.021033192,0.033295713,-0.1006611,-0.11988282203674316,0.08287596702575684,-85.62579,-0.44909167,0.98563385,1.2101797,1.0087408,Stay,0.0021118235,128.12
Summer,"2015-04-13",0.007945968,0.0062489887,0.0016122285,-0.0013434342,-0.04170876,0.012708487,-0.033698242,0.062311653,0.065823816,0.034820057,-0.002292258,-0.03933341,0.029548448,0.029383553,0.08295516,0.015171294,0.0232673,0.08126692,0.82968646,1.007431,1.0245986,1.0033697,1.0068735,1.0073574,1.0101277,0.011473748,-4.2441319E-4,0.028400658,64.252556,-0.51507264,56.269474,-0.09172974,64.26869,52.47343,58.656315,-0.0017725155,-0.009456964,-0.018785909,0.3488365113735199,0.030220117419958115,-62.44702,0.26708013,0.41483307,0.281293,1.0054692,Very_High,0.046433736,134.54
Spring,"2015-01-23",0.047663376,-0.0029347618,0.0052184626,0.050215766,-0.06494174,-0.0062705385,-0.010166465,-0.021843087,0.07099452,0.048917416,0.004811885,-0.043164026,0.014266759,0.0037060024,0.040428072,-0.020239204,-0.052996743,-0.019968843,0.9736922,1.0248226,1.0276862,1.0277637,1.0292051,1.0261439,1.0067204,0.022796484,4.218519E-6,0.02975962,29.458061,0.09943924,54.480827,-0.027605439,63.141125,48.97248,50.646503,-0.019758489,-0.006160115,-0.009834496,0.26877710223197937,0.07952746748924255,-41.81428,0.84291196,-0.2317276,-0.6531836,1.0216761,Very_High,0.061314885,120.25
Spring,"2014-02-28",-0.005931437,-0.020507004,-0.0065647806,0.026045518,0.050778396,0.025800813,-0.0696185,-0.019857956,-0.013555332,0.06948782,-0.005194509,-0.10533661,-0.022207921,0.058122195,-0.04745672,-0.034818564,0.04426454,-0.06544715,1.0943127,0.9966951,0.98757297,1.0039413,0.9920408,1.0029752,0.992196,0.027392246,-0.0019769103,0.031769104,43.97031,-1.2687836,31.593483,-0.006866455,19.33403,59.277546,41.87783,0.048479237,-0.0023623183,0.118018165,0.519914448261261,0.4827495217323303,-33.991497,-0.14960667,-0.20708466,-0.13228132,0.99268043,Very_High,0.012970396,75.65866
Spring,"2014-03-07",-0.0010546654,0.027265554,0.008640282,-0.031574283,0.0050688805,0.049685437,-0.069557525,0.013209193,-0.01721589,-0.049227085,-0.0015813545,-0.094088,-0.004189969,0.041382708,-0.057417266,-0.011701143,0.029538676,-0.06542856,0.7746528,1.0026968,0.9962394,0.9998678,1.0058746,0.99874306,1.0000874,0.01468531,-0.0030109703,0.029688662,48.335186,-2.5279908,49.98753,-0.0445549,52.11657,45.710453,52.287243,0.027125902,0.037992366,0.10890818,0.671359121799469,0.5989142060279846,-85.8859,0.12798052,-0.023200989,-0.08719125,1.0102962,Very_High,0.014436548,75.65866
Summer,"2014-06-06",0.027225405,0.015433543,0.047444686,0.004565795,0.016832106,0.0022637355,0.11958941,-8.377515E-4,-0.03335175,0.017816793,0.07588815,0.0057603363,0.06790205,0.09564113,0.19289185,0.030458365,0.061561808,0.16166861,1.2375207,1.0441165,1.0980285,1.007466,1.0188797,1.0487447,1.1224927,0.03196424,0.001896663,0.06611306,91.95416,0.11405029,68.08182,3.7612914E-4,46.036755,74.86206,61.874546,-0.0194402,-0.031292684,-0.17222552,0.8398621678352356,0.7874881029129028,-5.520883,0.36488914,2.760231,2.5777864,1.0710481,Very_High,0.021634946,93.801025
Spring,"2015-01-14",0.0052184626,0.050215766,-0.06494174,-0.0062705385,0.0033879783,0.054331716,-0.062568314,0.051878344,0.059360728,0.11962317,-0.017190818,-0.04502566,-0.009831424,0.010752613,0.05532487,-0.061635956,-0.010813477,-0.0023025852,0.99807173,0.99295264,0.9978831,0.9924617,1.0044456,0.9929282,0.9791647,0.022209588,-3.7842058E-4,0.03029091,50.430172,-1.7489105,54.652046,-0.13718109,69.20247,44.51666,56.533222,0.0016041175,-4.924163E-4,-0.0073456205,0.14301641285419464,0.0632520318031311,-82.75531,-0.099354744,-0.56871796,-0.5190406,0.98861283,Very_High,0.07874011,118.72145
Summer,"2014-04-28",0.12291621,0.012933066,-0.0055372184,-0.0018369477,-0.020447357,0.001915437,3.736355E-5,0.026124429,-0.017282676,0.06980425,0.017307214,-0.019767094,0.12624004,0.106980585,0.10017436,0.09438631,0.06994708,0.07178965,2.52735,1.0977722,1.1085927,1.0645819,1.0991471,1.1086996,1.1132675,0.033792876,0.0034198607,0.022950795,61.77708,0.61934817,49.780792,-0.03283005,46.97039,44.938606,44.84579,-0.14503343,-0.12289936,-0.13445073,0.43202444911003113,0.23618337512016296,-78.23509,2.0089922,1.1995316,0.19503541,1.1063367,Very_High,0.014536279,84.73642
Autumn,"2014-09-02",0.02256985,0.0155115705,0.011769448,0.032877855,0.023407115,0.018126318,0.00599808,-0.008309303,0.012894045,-0.0049210177,0.05120295,2.5588463E-4,0.043977,0.079478055,0.12953405,-0.0019391961,0.032640632,0.07594051,1.1863714,1.0358285,1.0727645,1.0106248,1.0171226,1.0445901,1.0745844,0.029468983,0.001040797,0.033528987,76.72223,0.963752,53.29881,-0.08356018,66.80116,69.70007,61.21256,-0.024862537,-0.02396899,-0.07268164,0.5261822938919067,0.5485968589782715,-5.071693,0.4879334,2.011467,1.7675003,1.0519894,Little_Low,-0.005205228,102.3505
Summer,"2014-05-30",0.02779759,0.0361028,0.019522388,-0.005371648,0.009366702,0.0019220154,0.13419949,-0.03681924,0.029948527,7.5336173E-4,0.15989558,0.009841676,0.07973531,0.089051776,0.20798148,0.046918813,0.055782303,0.17026195,2.1082687,1.0495108,1.0986603,1.0104879,1.0288435,1.0495415,1.1214345,0.024706107,0.0020207507,0.059853904,80.4803,-0.39448243,72.16431,-0.0046722414,46.698143,70.36711,61.800087,-0.028740384,-0.045779105,-0.2164213,0.7984893918037415,0.8178261518478394,-7.876678,0.4988513,2.5822372,2.3328116,1.0768871,Very_High,0.0328795,93.801025
Winter,"2014-10-27",0.02207333,0.07786488,-0.041139603,-0.027476804,0.010705463,-0.009643085,-0.025296256,-0.0015748908,0.050549686,0.008490711,-0.0010673506,-0.036671985,0.061505314,0.07566711,0.1073077,0.048993237,0.061543226,0.08161163,0.5277087,1.0376253,1.0530297,1.0094696,1.0400752,1.045465,1.0442039,0.023744902,0.001652708,0.018243931,67.875496,-0.17053375,52.111717,0.042681884,59.452805,46.21474,54.07577,0.012058418,-0.060985506,-0.06916403,0.3117075264453888,0.22661268711090088,-78.62081,1.457072,1.0480576,0.31952158,1.044416,Very_High,0.045695893,109.39207
Winter,"2014-11-24",0.0276332,0.025670849,0.037902642,0.010128955,0.008790682,0.02578528,0.032401085,0.005074163,-0.025296256,-0.0015748908,0.08371012,-0.04638807,0.09530776,0.14020911,0.1670962,0.073157184,0.11867887,0.15463015,1.0859891,1.063839,1.1158105,1.0199466,1.0374376,1.0674465,1.1341738,0.032257367,4.7032052E-4,0.051604126,94.34222,-0.69446105,64.17331,0.06972961,55.594048,74.86589,62.070576,-0.062304683,-0.07236468,-0.11784123,0.9077458381652832,0.906661868095398,-5.3561573,0.9267669,3.7220688,3.2586854,1.1141074,High,0.008251397,119.27926
Summer,"2015-04-29",0.0026500104,0.012255987,0.004988952,-0.017137937,0.007945968,0.0062489887,0.020100141,-0.033268884,0.024036163,0.09146398,0.015158658,-0.0242738,0.058286764,0.06364136,0.04391673,-0.011348308,0.0017690674,-0.018436782,1.4183929,1.0054909,1.0243187,0.9868055,1.0004272,1.0097448,1.0115049,0.016437504,0.0010259945,0.018820414,71.08865,0.102049254,53.439575,0.019597625,57.959568,51.122383,55.52831,-0.0114278,-3.8369186E-4,0.018310994,0.6784106492996216,0.536481499671936,-52.311493,0.64956677,1.2290192,0.9042358,1.0177779,?,?,?
Autumn,"2014-08-13",0.024333557,-0.004299953,-0.020996345,-0.022694802,0.03772787,0.02272972,0.03496183,0.015517554,0.018045362,0.057087526,0.057085164,-0.0060131145,-2.1884867E-4,0.016255446,0.08142397,-0.02414517,0.0060349647,0.06196922,0.6644807,1.0192121,1.0448087,1.0162617,1.0198675,1.0169909,1.0362885,0.016372373,-4.2896347E-5,0.022948748,40.395515,1.6392158,58.583836,-0.040255737,62.439644,55.812817,65.52745,-4.0141586E-4,-0.010480238,-0.0382453,0.2784695625305176,0.2548344135284424,-76.803604,-0.22693038,0.663887,0.7773522,1.022216,Very_High,0.054812912,101.725685
Autumn,"2014-09-09",-0.008699892,-0.034156837,0.008183695,0.0031820333,0.021220466,0.031305324,-0.021537922,0.03487624,0.051676437,-0.033390045,0.034645222,-0.039016213,0.008906898,0.07285599,0.1377565,-0.05075022,0.013707378,0.07592659,3.700787,0.987592,1.0134813,0.99506485,0.97653097,0.9819424,1.0108757,0.020817796,-0.0017302375,0.029837383,36.513676,-0.92584914,61.944897,-0.010701751,61.984306,72.33232,66.25519,0.03482706,0.009036886,-0.050244976,0.5684970617294312,0.5420343279838562,-13.498141,-1.2131052,0.73165894,1.3382115,0.9994033,Stay,-2.911262E-4,102.20174
Winter,"2014-10-20",0.018270852,-0.039393395,0.015991073,-0.005238054,0.012671033,-0.020066578,0.02974222,-0.024361065,0.059517466,-0.021537922,0.037962105,-0.01947972,0.0480874,0.032798063,0.09942663,-0.012069954,-0.023463937,0.043783087,1.2864475,1.003941,1.009208,1.0180007,1.0065684,1.0009633,0.9981827,0.015481361,8.2482584E-4,0.01813402,41.7494,1.0934708,51.25905,-0.07854767,67.27539,54.001663,57.134686,-0.037349857,-0.035204895,-0.06395445,0.0019763908348977566,0.05739283189177513,-41.838512,-0.38000876,-0.44339752,-0.25339314,0.99619585,Very_High,0.10344151,109.39207
Spring,"2015-02-18",0.021101093,0.06672287,0.014282683,0.02785414,0.057641014,-0.010157978,-0.060014017,0.050410725,-0.054773297,0.01746527,0.1044638,-0.007399586,0.09170444,0.19309066,0.10930956,0.083418846,0.19644049,0.10522069,0.68669087,1.070697,1.116961,1.013591,1.0425456,1.083508,1.133264,0.047052167,9.5608534E-4,0.047065914,88.374146,-1.5855042,54.293545,0.045706175,56.735836,62.061176,57.08262,-0.045123916,-0.14452335,-0.08809187,0.760534942150116,0.7145466208457947,-7.8842187,1.8500996,4.319481,3.394431,1.1146054,Very_High,0.03742823,133.6
Summer,"2014-04-17",0.005825111,-0.0018369477,-0.020447357,0.001915437,0.0030183361,-0.0017831104,6.404181E-4,-0.022744449,0.06866977,-0.059520517,0.027243476,-0.009657463,-0.027170446,-0.009217652,0.03035053,-0.04893603,-0.030378334,0.01608012,1.1723492,0.9948678,0.98921186,1.0082589,1.0026112,0.98797256,0.9890222,0.016905759,7.6892786E-4,0.015181032,27.067986,-0.70138705,54.0057,-0.009168243,42.97996,43.84773,50.848194,-0.013205271,-0.03776662,-0.022559147,-0.27121829986572266,-0.26085779070854187,-76.050385,-0.42222062,-0.44429016,-0.23317985,0.988688,Very_High,0.13580026,84.03823
Autumn,"2014-08-06",-0.022643276,-0.03755165,0.013808693,0.02147608,-0.031246739,0.010878618,0.0441306,-0.020172609,0.08127264,0.032333136,0.06692827,-0.0059873746,-0.013281523,0.006565976,0.08020972,-0.0149839865,-0.010722127,0.06591265,0.78343683,0.9931753,1.0217478,0.9945535,0.9813465,0.9902857,1.0133375,0.016586855,-1.4220811E-4,0.02567946,44.001015,0.19445801,67.856964,-0.089466855,65.82155,66.71529,60.249992,-0.020493783,-0.0058675255,-0.043971833,0.2928755581378937,0.44622835516929626,-7.5609283,-0.77221036,0.7670975,1.1532027,0.9993157,Very_High,0.064021975,100.25786
Winter,"2014-11-06",0.008790682,0.02578528,0.03132203,0.017569596,0.07242273,-0.05003448,-0.013312483,0.038159285,-0.0041412637,0.050499756,0.043094195,-0.025992602,0.049976226,0.077358924,0.075363286,0.039467208,0.07066878,0.06971207,0.5809149,1.0380548,1.0690882,1.0033551,1.0151492,1.0516295,1.0721166,0.040190816,0.0016808085,0.030988576,82.32215,-0.5572876,53.193043,0.029995728,59.571865,62.023808,50.7728,-0.0012532398,-0.034741253,-0.06667307,0.5776675939559937,0.5533968806266785,-1.3232242,1.0004802,2.3976288,1.8973887,1.0629985,Very_High,0.07804021,116.818954
Spring,"2015-03-06",-0.018300312,0.0044258665,0.0030764027,0.04207477,0.021101093,0.06672287,0.097384125,0.02825224,-0.050147336,-0.026950048,0.15176688,-0.0062888633,0.00968767,0.08358975,0.15247293,-0.020026492,0.054591212,0.12759057,1.279678,1.0029676,1.050507,0.9890625,0.97923905,0.9943331,1.0731297,0.028665308,-0.0025352396,0.06833866,59.92546,-0.10536881,62.903152,0.10456772,51.055977,75.37959,64.19876,0.019908603,-0.013019808,-0.097828634,0.5539649724960327,0.689339280128479,-37.5945,-1.9308553,2.908722,3.8741496,1.0352284,Stay,0.0015460479,129.57
Spring,"2015-03-11",-0.049307853,-0.019773595,0.0044258665,0.0030764027,0.04207477,0.021101093,0.05673024,0.035429787,-0.011834452,-0.016344652,0.19245446,0.057598803,-0.015425522,0.06074503,0.14781046,-0.050877854,0.0122336345,0.08580845,1.1398453,0.971938,1.0104865,0.974956,0.9604245,0.9551304,1.0297683,0.020468075,-0.0026918196,0.07099704,39.155914,-1.0853531,68.32992,0.10200958,50.897503,65.978516,65.93129,0.048581734,0.0028201416,-0.07301406,0.17909888923168182,0.4347328841686249,-63.277664,-2.6867137,1.6349106,2.9782674,0.9761589,Very_High,0.035906095,129.25
Spring,"2015-03-25",-0.04170876,0.012708487,0.038672253,-0.027430464,-0.015182081,-0.0019411446,0.11488819,0.05673024,0.035429787,-0.011834452,0.093737245,0.016228337,0.026208198,-0.027051767,0.14130612,0.004012758,-0.04330859,0.13128531,0.89803934,0.98004293,1.0062606,0.9781505,0.9798438,0.9745847,1.0114329,0.017784769,-7.5286813E-4,0.06120544,69.20093,1.5230911,65.27753,-0.012184143,58.14916,52.156204,60.095097,0.012950385,0.045274988,-0.06560078,-0.23505568504333496,-0.016128739342093468,-55.121796,-0.7144414,0.61001587,0.9672366,0.9726832,High,0.010250713,128.12
Winter,"2014-12-30",-0.0062705385,0.0059892307,0.059039254,-0.04908251,-0.021735406,-0.028941676,0.051878344,0.059360728,0.11962317,-0.030321259,0.055531103,-0.047043014,0.028404888,-0.03756831,0.17957081,0.0094029335,-0.03522959,0.13002297,0.5836561,1.0008303,1.0196728,0.9958052,1.0059899,1.0012454,1.0121273,0.021249117,-0.0019693933,0.04058776,58.565067,-0.877858,62.24076,-0.05167389,62.70503,53.99784,57.292706,0.004451761,0.052881032,-0.026854023,0.09834445267915726,0.24746613204479218,-66.124084,0.4293597,0.27443695,0.059757095,0.9924358,Little_Low,-0.0058813193,112.804794
Summer,"2014-05-27",0.0361028,0.019522388,-0.005371648,0.009366702,0.0019220154,0.0140389325,0.06989138,-0.030628473,3.736355E-5,0.026124429,0.13559684,-0.022631316,0.08508243,0.08731505,0.20032617,0.04805917,0.08124784,0.169908,1.1288205,1.054403,1.0991898,1.0229229,1.0363947,1.0484774,1.1207602,0.016965462,-0.003721146,0.05563875,76.149864,-0.60218203,71.00599,0.0028587342,46.063553,65.17511,63.639534,-0.029680543,-0.06283139,-0.19391978,0.810699999332428,0.8085784912109375,-42.96175,0.22271967,2.3060532,2.1946933,1.0901794,Very_High,0.06309727,93.801025
Autumn,"2014-07-16",0.010878618,-0.012776557,0.015766526,0.034413945,0.001652854,-0.021779187,0.018045362,0.057087526,1.8366457E-4,0.141743,0.04166018,-0.0011142088,0.03220993,0.047464892,0.13726516,-0.0060131145,0.008387778,0.10442248,1.2336164,1.0109131,1.0494109,0.99389666,0.99660367,1.0154381,1.046648,0.02161371,7.647E-4,0.03991399,57.92263,0.73106843,64.50754,-0.14588928,66.197815,67.968124,61.62438,-0.0131881,-0.0012801811,-0.050818577,0.42418140172958374,0.41918259859085083,-7.3894057,-0.023873806,1.4877014,1.4996383,1.0187784,Very_High,0.024099007,98.13334
